,w_star,method,gamma,N
979,"[2.01083984e-01 0.00000000e+00 0.00000000e+00 7.98916016e-01
 1.43982049e-16]",Bayesian,5.0,100
980,"[2.05698150e-01 0.00000000e+00 0.00000000e+00 7.94301850e-01
 5.82867088e-16]",Bayesian,5.0,200
981,"[2.32588948e-12 4.93458052e-12 0.00000000e+00 1.00000000e+00
 8.58496607e-12]",Bayesian,0.1,50
982,[0.         0.         0.02554054 0.97445946 0.        ],Bayesian,0.1,100
983,[0.         0.         0.11792866 0.88207134 0.        ],Bayesian,0.1,200
984,[0.        0.        0.0257154 0.9742846 0.       ],Bayesian,1.0,50
985,"[0.00000000e+00 0.00000000e+00 2.02615702e-15 1.00000000e+00
 3.49720253e-15]",Bayesian,1.0,100
986,"[1.69309011e-15 0.00000000e+00 4.99600361e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
987,"[2.02434790e-01 7.45931095e-17 1.30104261e-16 7.97565210e-01
 0.00000000e+00]",Bayesian,5.0,50
988,"[3.13315859e-01 0.00000000e+00 1.59594560e-16 6.86684141e-01
 0.00000000e+00]",Bayesian,5.0,100
989,"[3.11783602e-01 2.30718222e-16 0.00000000e+00 6.88216398e-01
 1.40512602e-16]",Bayesian,5.0,200
990,"[0.00000000e+00 0.00000000e+00 2.06093476e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
991,"[1.00543241e-11 1.66826368e-11 2.45643791e-01 7.54356209e-01
 2.42478079e-11]",Bayesian,0.1,100
992,"[1.79472911e-11 1.93161249e-11 1.38250920e-01 8.61749080e-01
 2.34723374e-11]",Bayesian,0.1,200
993,"[0.00000000e+00 5.55111512e-16 2.77555756e-16 1.00000000e+00
 1.94289029e-16]",Bayesian,1.0,50
994,"[3.33066907e-16 0.00000000e+00 1.66533454e-16 1.00000000e+00
 1.49880108e-15]",Bayesian,1.0,100
995,"[0.00000000e+00 0.00000000e+00 8.60422844e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
996,"[1.11935518e-01 0.00000000e+00 3.09487714e-02 8.57115711e-01
 1.29345319e-16]",Bayesian,5.0,50
997,"[2.50306342e-01 1.66533454e-16 9.02056208e-17 7.49693658e-01
 0.00000000e+00]",Bayesian,5.0,100
998,[0.40832202 0.         0.         0.59167798 0.        ],Bayesian,5.0,200
999,"[4.48985884e-11 4.77930084e-11 1.98910902e-01 8.01089098e-01
 6.28074143e-11]",Bayesian,0.1,50
1000,"[1.34998518e-12 4.06507762e-12 2.57206500e-01 7.42793500e-01
 7.51582914e-12]",Bayesian,0.1,100
1001,"[0.00000000e+00 0.00000000e+00 6.53310739e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
1002,[0.         0.         0.15821796 0.84178204 0.        ],Bayesian,1.0,50
1003,"[1.66533454e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1004,"[8.32667268e-17 0.00000000e+00 2.49800181e-16 1.00000000e+00
 5.44009282e-15]",Bayesian,1.0,200
1005,"[3.75727683e-02 1.73472348e-16 0.00000000e+00 9.62427232e-01
 0.00000000e+00]",Bayesian,5.0,50
1006,"[0.00000000e+00 8.32667268e-17 7.63278329e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
1007,"[3.41839676e-03 2.77555756e-17 0.00000000e+00 9.96581603e-01
 0.00000000e+00]",Bayesian,5.0,200
1008,[0.         0.         0.91818593 0.08181407 0.        ],Bayesian,0.1,50
1009,"[0.00000000e+00 0.00000000e+00 1.32754918e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
1010,[0.         0.         0.18327054 0.81672946 0.        ],Bayesian,0.1,200
1011,"[3.95640642e-15 0.00000000e+00 1.61047657e-01 8.38952343e-01
 4.02027776e-15]",Bayesian,1.0,50
1012,"[0.00000000e+00 3.11879259e-15 3.34517703e-02 9.66548230e-01
 0.00000000e+00]",Bayesian,1.0,100
1013,"[5.27355937e-16 6.10622664e-16 1.94289029e-16 1.00000000e+00
 6.91113833e-15]",Bayesian,1.0,200
1014,"[9.00440689e-01 0.00000000e+00 0.00000000e+00 9.95593115e-02
 1.71737624e-16]",Bayesian,5.0,50
1015,"[1.66533454e-16 9.02056208e-17 0.00000000e+00 1.00000000e+00
 4.16333634e-17]",Bayesian,5.0,100
1016,"[3.91127161e-01 0.00000000e+00 5.20417043e-17 6.08872839e-01
 0.00000000e+00]",Bayesian,5.0,200
1017,[0.         0.         0.55273868 0.44726132 0.        ],Bayesian,0.1,50
1018,"[1.24622224e-12 3.25905346e-12 2.21500475e-01 7.78499525e-01
 6.46661704e-12]",Bayesian,0.1,100
1019,"[9.33462850e-13 2.91145997e-12 2.12475729e-01 7.87524271e-01
 5.38807223e-12]",Bayesian,0.1,200
1020,[1.0269563e-15 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,50
1021,"[0.00000000e+00 0.00000000e+00 7.77156117e-16 1.00000000e+00
 5.02375919e-15]",Bayesian,1.0,100
1022,"[0.00000000e+00 2.94209102e-15 0.00000000e+00 1.00000000e+00
 3.60822483e-15]",Bayesian,1.0,200
1023,"[1.02065914e-01 3.15719673e-16 0.00000000e+00 8.97934086e-01
 1.17961196e-16]",Bayesian,5.0,50
1024,[0.35008283 0.         0.         0.64991717 0.        ],Bayesian,5.0,100
1025,"[2.77555756e-17 0.00000000e+00 1.73472348e-16 1.00000000e+00
 1.04083409e-16]",Bayesian,5.0,200
1026,"[5.71820369e-13 2.24670282e-12 0.00000000e+00 1.00000000e+00
 4.53284632e-12]",Bayesian,0.1,50
1027,"[4.90142980e-11 5.64805181e-11 1.39668860e-01 8.60331140e-01
 7.36699730e-11]",Bayesian,0.1,100
1028,"[1.61977620e-11 1.68992027e-11 1.79079963e-01 8.20920037e-01
 2.14667076e-11]",Bayesian,0.1,200
1029,"[0.00000000e+00 8.32667268e-17 3.60822483e-16 1.00000000e+00
 5.71764858e-15]",Bayesian,1.0,50
1030,"[8.77303951e-17 0.00000000e+00 2.00668935e-01 7.99331065e-01
 2.92434650e-16]",Bayesian,1.0,100
1031,"[1.12217629e-14 8.69821329e-15 1.12778861e-02 9.88722114e-01
 1.49835431e-14]",Bayesian,1.0,200
1032,"[1.31838984e-16 1.31838984e-16 0.00000000e+00 1.00000000e+00
 2.79290480e-16]",Bayesian,5.0,50
1033,"[0.00000000e+00 0.00000000e+00 1.35308431e-16 1.00000000e+00
 9.02056208e-17]",Bayesian,5.0,100
1034,"[4.29406568e-01 1.11022302e-16 3.88578059e-16 5.70593432e-01
 1.11022302e-16]",Bayesian,5.0,200
1035,"[1.42053036e-13 2.86021207e-13 0.00000000e+00 1.00000000e+00
 7.54951657e-13]",Bayesian,0.1,50
1036,"[4.76119283e-11 5.56138934e-11 1.74022449e-01 8.25977551e-01
 7.92741363e-11]",Bayesian,0.1,100
1037,"[1.90478047e-11 2.10824756e-11 2.32762801e-01 7.67237199e-01
 2.64151483e-11]",Bayesian,0.1,200
1038,"[4.46545695e-14 3.58028702e-14 6.09847420e-02 9.39015258e-01
 5.39115702e-14]",Bayesian,1.0,50
1039,"[8.60422844e-16 0.00000000e+00 1.08246745e-15 1.00000000e+00
 3.33066907e-16]",Bayesian,1.0,100
1040,"[1.36002321e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1041,"[0.00000000e+00 0.00000000e+00 1.00475184e-14 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
1042,"[5.29143308e-02 2.77555756e-17 0.00000000e+00 9.47085669e-01
 2.01227923e-16]",Bayesian,5.0,100
1043,"[1.13526854e-01 4.51028104e-17 1.04083409e-17 8.86473146e-01
 0.00000000e+00]",Bayesian,5.0,200
1044,"[1.37340139e-12 4.05581124e-12 0.00000000e+00 1.00000000e+00
 7.86076759e-12]",Bayesian,0.1,50
1045,[0.         0.         0.25162647 0.74837353 0.        ],Bayesian,0.1,100
1046,[0.         0.         0.03947902 0.96052098 0.        ],Bayesian,0.1,200
1047,"[1.72084569e-15 1.41553436e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
1048,"[6.38378239e-16 6.38378239e-16 0.00000000e+00 1.00000000e+00
 1.00475184e-14]",Bayesian,1.0,100
1049,"[9.43689571e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1050,"[2.31305255e-01 0.00000000e+00 6.93889390e-17 7.68694745e-01
 7.11236625e-17]",Bayesian,5.0,50
1051,"[0.00000000e+00 1.80411242e-16 0.00000000e+00 1.00000000e+00
 1.24900090e-16]",Bayesian,5.0,100
1052,"[0.00000000e+00 1.80411242e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
1053,"[1.18732439e-13 0.00000000e+00 3.82879768e-01 6.17120232e-01
 0.00000000e+00]",Bayesian,0.1,50
1054,"[8.71303030e-13 2.53286281e-12 0.00000000e+00 1.00000000e+00
 5.02686781e-12]",Bayesian,0.1,100
1055,"[2.66630221e-12 3.22813181e-12 2.08994984e-01 7.91005016e-01
 4.18057780e-12]",Bayesian,0.1,200
1056,"[0.00000000e+00 4.71844785e-16 7.49400542e-16 1.00000000e+00
 1.33226763e-15]",Bayesian,1.0,50
1057,[0.0000000e+00 1.1379786e-15 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,100
1058,"[9.43689571e-16 0.00000000e+00 4.44089210e-16 1.00000000e+00
 3.60822483e-16]",Bayesian,1.0,200
1059,"[2.16416416e-16 2.35050331e-16 7.58957885e-02 9.24104211e-01
 6.82318721e-17]",Bayesian,5.0,50
1060,[0.10838967 0.         0.00932231 0.88228802 0.        ],Bayesian,5.0,100
1061,"[9.10559074e-02 0.00000000e+00 3.46944695e-18 9.08944093e-01
 0.00000000e+00]",Bayesian,5.0,200
1062,"[5.80396182e-13 1.76428453e-12 2.44999211e-01 7.55000789e-01
 3.22017191e-12]",Bayesian,0.1,50
1063,"[2.27681591e-13 8.15909458e-13 2.63458508e-01 7.36541492e-01
 1.32872020e-12]",Bayesian,0.1,100
1064,"[1.16886935e-11 2.33547561e-11 2.72367348e-01 7.27632652e-01
 3.18451569e-11]",Bayesian,0.1,200
1065,"[1.16678139e-14 7.35982450e-15 1.25527599e-01 8.74472401e-01
 1.86300286e-14]",Bayesian,1.0,50
1066,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 1.00000000e+00
 2.77555756e-17]",Bayesian,1.0,100
1067,"[3.33066907e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1068,[0.08357602 0.         0.         0.91642398 0.        ],Bayesian,5.0,50
1069,"[0.00000000e+00 5.59448321e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
1070,"[2.22264960e-02 3.19189120e-16 2.42861287e-17 9.77773504e-01
 0.00000000e+00]",Bayesian,5.0,200
1071,"[1.07326159e-12 2.82390422e-12 2.39218656e-01 7.60781344e-01
 4.90644225e-12]",Bayesian,0.1,50
1072,"[2.43805894e-12 3.86283590e-12 2.54173001e-01 7.45826999e-01
 5.50559018e-12]",Bayesian,0.1,100
1073,[0.         0.         0.05862443 0.94137557 0.        ],Bayesian,0.1,200
1074,"[5.55111512e-17 1.11022302e-16 0.00000000e+00 1.00000000e+00
 4.52415883e-15]",Bayesian,1.0,50
1075,"[3.05311332e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1076,"[4.86379493e-14 4.40739930e-14 1.66539167e-02 9.83346083e-01
 6.94486490e-14]",Bayesian,1.0,200
1077,"[0.00000000e+00 3.46944695e-17 5.55111512e-17 1.00000000e+00
 4.64905892e-16]",Bayesian,5.0,50
1078,"[7.71951947e-17 3.72531866e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
1079,"[3.30223031e-02 3.81639165e-17 0.00000000e+00 9.66977697e-01
 4.16333634e-16]",Bayesian,5.0,200
1080,[0.         0.         0.30401715 0.69598285 0.        ],Bayesian,0.1,50
1081,[0.         0.         0.16594199 0.83405801 0.        ],Bayesian,0.1,100
1082,"[2.08080757e-12 1.30927582e-11 3.41574616e-01 6.58425384e-01
 2.21933680e-11]",Bayesian,0.1,200
1083,"[0.00000000e+00 5.55111512e-16 0.00000000e+00 1.00000000e+00
 2.85882429e-15]",Bayesian,1.0,50
1084,"[7.49400542e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 7.18869408e-15]",Bayesian,1.0,100
1085,"[1.03173640e-14 0.00000000e+00 3.21709276e-02 9.67829072e-01
 1.29020367e-14]",Bayesian,1.0,200
1086,"[5.89924577e-01 5.30716963e-17 8.13151629e-19 4.10075423e-01
 8.99887803e-18]",Bayesian,5.0,50
1087,"[7.78678957e-01 1.59594560e-16 0.00000000e+00 2.21321043e-01
 0.00000000e+00]",Bayesian,5.0,100
1088,"[2.50740723e-01 0.00000000e+00 2.15105711e-16 7.49259277e-01
 0.00000000e+00]",Bayesian,5.0,200
1089,"[2.99680080e-14 7.99016868e-13 9.12115805e-01 8.78841954e-02
 1.31706998e-12]",Bayesian,0.1,50
1090,"[0.00000000e+00 0.00000000e+00 7.47557571e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
1091,[0.         0.         0.46447515 0.53552485 0.        ],Bayesian,0.1,200
1092,"[4.80920700e-15 0.00000000e+00 9.29672338e-02 9.07032766e-01
 5.05744242e-15]",Bayesian,1.0,50
1093,"[3.71924713e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1094,"[1.44328993e-15 0.00000000e+00 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1095,"[1.55804484e-01 1.73472348e-17 5.89805982e-17 8.44195516e-01
 0.00000000e+00]",Bayesian,5.0,50
1096,"[4.10286428e-01 1.90819582e-17 0.00000000e+00 5.89713572e-01
 6.09755302e-16]",Bayesian,5.0,100
1097,"[8.76828077e-02 0.00000000e+00 1.11022302e-16 9.12317192e-01
 1.38777878e-17]",Bayesian,5.0,200
1098,[0.         0.         0.36471552 0.63528448 0.        ],Bayesian,0.1,50
1099,"[4.01460318e-11 4.34498750e-11 2.81645317e-02 9.71835468e-01
 5.60598799e-11]",Bayesian,0.1,100
1100,"[0.00000000e+00 0.00000000e+00 6.91108282e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
1101,[0.         0.         0.11278962 0.88721038 0.        ],Bayesian,1.0,50
1102,"[0.00000000e+00 0.00000000e+00 2.77555756e-16 1.00000000e+00
 1.74860126e-15]",Bayesian,1.0,100
1103,"[0.00000000e+00 1.66533454e-16 0.00000000e+00 1.00000000e+00
 4.57966998e-15]",Bayesian,1.0,200
1104,"[9.34294178e-01 0.00000000e+00 1.11022302e-16 6.57058216e-02
 0.00000000e+00]",Bayesian,5.0,50
1105,"[5.62259267e-01 0.00000000e+00 2.25514052e-17 4.37740733e-01
 0.00000000e+00]",Bayesian,5.0,100
1106,"[1.14500954e-01 4.16333634e-17 0.00000000e+00 8.85499046e-01
 0.00000000e+00]",Bayesian,5.0,200
1107,[0.         0.         0.03024577 0.96975423 0.        ],Bayesian,0.1,50
1108,"[2.51574770e-11 4.74919404e-11 2.56026950e-01 7.43973050e-01
 6.31575708e-11]",Bayesian,0.1,100
1109,"[2.98587151e-11 3.13788333e-11 1.42189842e-01 8.57810158e-01
 3.98134754e-11]",Bayesian,0.1,200
1110,"[2.57053155e-15 0.00000000e+00 1.35859673e-02 9.86414033e-01
 0.00000000e+00]",Bayesian,1.0,50
1111,"[6.38378239e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1112,"[0.00000000e+00 9.15933995e-16 6.38378239e-16 1.00000000e+00
 2.66453526e-15]",Bayesian,1.0,200
1113,"[0.00000000e+00 6.76542156e-17 0.00000000e+00 1.00000000e+00
 2.71484224e-16]",Bayesian,5.0,50
1114,"[3.12846362e-01 0.00000000e+00 8.54358723e-02 6.01717766e-01
 2.87421996e-16]",Bayesian,5.0,100
1115,"[9.95424085e-02 2.77555756e-17 2.77555756e-17 9.00457592e-01
 0.00000000e+00]",Bayesian,5.0,200
1116,"[7.21840357e-15 1.06745616e-12 8.03447684e-01 1.96552316e-01
 2.43540709e-12]",Bayesian,0.1,50
1117,"[1.46022083e-13 2.96151992e-13 0.00000000e+00 1.00000000e+00
 6.63802346e-13]",Bayesian,0.1,100
1118,"[8.62523345e-12 1.68361210e-11 2.67796216e-01 7.32203784e-01
 2.15654368e-11]",Bayesian,0.1,200
1119,"[0.00000000e+00 5.55111512e-17 1.33226763e-15 1.00000000e+00
 5.10702591e-15]",Bayesian,1.0,50
1120,"[5.27355937e-16 7.21644966e-16 0.00000000e+00 1.00000000e+00
 6.93889390e-16]",Bayesian,1.0,100
1121,"[1.80411242e-15 0.00000000e+00 9.99200722e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1122,"[2.77555756e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.60822483e-16]",Bayesian,5.0,50
1123,"[2.86670798e-01 0.00000000e+00 0.00000000e+00 7.13329202e-01
 4.92661467e-16]",Bayesian,5.0,100
1124,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.77555756e-17]",Bayesian,5.0,200
1125,[0.0000000e+00 0.0000000e+00 1.0000000e+00 6.4092065e-12 0.0000000e+00],Bayesian,0.1,50
1126,[0.         0.         0.08260907 0.91739093 0.        ],Bayesian,0.1,100
1127,[0.         0.         0.32979819 0.67020181 0.        ],Bayesian,0.1,200
1128,"[2.49800181e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.05471187e-15]",Bayesian,1.0,50
1129,"[2.13717932e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1130,"[0.00000000e+00 0.00000000e+00 1.11022302e-15 1.00000000e+00
 2.49800181e-16]",Bayesian,1.0,200
1131,[0.31503273 0.         0.15936392 0.52560336 0.        ],Bayesian,5.0,50
1132,"[2.98084183e-01 0.00000000e+00 1.86457230e-01 5.15458587e-01
 2.64545330e-16]",Bayesian,5.0,100
1133,"[6.34600354e-01 9.71445147e-17 2.77555756e-17 3.65399646e-01
 3.81639165e-17]",Bayesian,5.0,200
1134,"[9.80860302e-13 1.12837119e-12 3.18767384e-01 6.81232616e-01
 1.96077998e-12]",Bayesian,0.1,50
1135,"[0.00000000e+00 1.46541208e-12 4.09853834e-01 5.90146166e-01
 2.81346902e-12]",Bayesian,0.1,100
1136,[0.         0.         0.30478294 0.69521706 0.        ],Bayesian,0.1,200
1137,[0. 0. 0. 1. 0.],Bayesian,1.0,50
1138,"[1.63757896e-15 0.00000000e+00 3.33066907e-16 1.00000000e+00
 4.80171458e-15]",Bayesian,1.0,100
1139,"[1.58206781e-15 0.00000000e+00 2.72004641e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1140,[0.1922232 0.        0.        0.8077768 0.       ],Bayesian,5.0,50
1141,"[4.43775570e-01 0.00000000e+00 1.50920942e-16 5.56224430e-01
 6.92154667e-16]",Bayesian,5.0,100
1142,"[3.15615423e-01 3.06775005e-16 3.04700619e-02 6.53914515e-01
 0.00000000e+00]",Bayesian,5.0,200
1143,"[1.16655624e-13 0.00000000e+00 4.16402274e-01 5.83597726e-01
 0.00000000e+00]",Bayesian,0.1,50
1144,"[3.11784959e-15 0.00000000e+00 7.25189913e-01 2.74810087e-01
 0.00000000e+00]",Bayesian,0.1,100
1145,"[0.00000000e+00 4.44577335e-12 5.93160504e-01 4.06839496e-01
 8.57701290e-12]",Bayesian,0.1,200
1146,"[0.00000000e+00 0.00000000e+00 3.05311332e-16 1.00000000e+00
 8.65973959e-15]",Bayesian,1.0,50
1147,"[1.24900090e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.66453526e-15]",Bayesian,1.0,100
1148,"[8.88178420e-16 0.00000000e+00 8.32667268e-17 1.00000000e+00
 1.24900090e-15]",Bayesian,1.0,200
1149,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.22044605e-16]",Bayesian,5.0,50
1150,"[5.19136112e-03 3.33066907e-16 0.00000000e+00 9.94808639e-01
 0.00000000e+00]",Bayesian,5.0,100
1151,"[3.46944695e-18 3.16587034e-16 6.93889390e-18 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
1152,[0.         0.         0.22761782 0.77238218 0.        ],Bayesian,0.1,50
1153,"[6.81406792e-11 7.03373037e-11 3.43717978e-02 9.65628202e-01
 8.54560142e-11]",Bayesian,0.1,100
1154,[0.         0.         0.09106077 0.90893923 0.        ],Bayesian,0.1,200
1155,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 1.19348975e-15]",Bayesian,1.0,50
1156,"[0.00000000e+00 5.55111512e-17 2.22044605e-16 1.00000000e+00
 3.91353616e-15]",Bayesian,1.0,100
1157,"[6.27143792e-14 6.41179571e-14 6.12325903e-03 9.93876741e-01
 9.41452805e-14]",Bayesian,1.0,200
1158,"[9.10990194e-01 3.19189120e-16 2.08166817e-17 8.90098060e-02
 0.00000000e+00]",Bayesian,5.0,50
1159,"[8.09492356e-02 1.17961196e-16 0.00000000e+00 9.19050764e-01
 7.97972799e-17]",Bayesian,5.0,100
1160,"[0.00000000e+00 2.98372438e-16 0.00000000e+00 1.00000000e+00
 2.77555756e-17]",Bayesian,5.0,200
1161,"[0.00000000e+00 0.00000000e+00 6.55439591e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
1162,"[0.00000000e+00 0.00000000e+00 4.83785234e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
1163,"[2.94597680e-13 1.23567823e-13 0.00000000e+00 1.00000000e+00
 7.91422483e-13]",Bayesian,0.1,200
1164,"[0.00000000e+00 5.27355937e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
1165,"[1.66533454e-16 0.00000000e+00 1.22124533e-15 1.00000000e+00
 1.88737914e-15]",Bayesian,1.0,100
1166,"[1.36002321e-15 1.97064587e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1167,[0.21864501 0.         0.         0.78135499 0.        ],Bayesian,5.0,50
1168,"[5.46315977e-01 2.60208521e-17 5.46437895e-17 4.53684023e-01
 0.00000000e+00]",Bayesian,5.0,100
1169,"[1.10953448e-01 6.93889390e-17 6.93889390e-18 8.89046552e-01
 0.00000000e+00]",Bayesian,5.0,200
1170,"[0.00000000e+00 0.00000000e+00 2.45320431e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
1171,"[1.30109812e-12 4.68541872e-12 0.00000000e+00 1.00000000e+00
 8.77986572e-12]",Bayesian,0.1,100
1172,"[7.70012538e-12 9.68404259e-12 1.65634727e-01 8.34365273e-01
 1.11575809e-11]",Bayesian,0.1,200
1173,[0.         0.         0.00442725 0.99557275 0.        ],Bayesian,1.0,50
1174,"[6.38378239e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.83186799e-15]",Bayesian,1.0,100
1175,"[0.00000000e+00 0.00000000e+00 3.58046925e-15 1.00000000e+00
 7.60502772e-15]",Bayesian,1.0,200
1176,"[7.26179023e-01 3.30031141e-16 2.20031503e-01 5.37894736e-02
 8.79721643e-16]",Bayesian,5.0,50
1177,"[2.78498592e-01 2.35922393e-16 0.00000000e+00 7.21501408e-01
 2.63677968e-16]",Bayesian,5.0,100
1178,"[1.10060341e-01 0.00000000e+00 0.00000000e+00 8.89939659e-01
 2.91433544e-16]",Bayesian,5.0,200
1179,[0.         0.         0.10436486 0.89563514 0.        ],Bayesian,0.1,50
1180,"[1.71285971e-11 1.91601177e-11 1.74529182e-01 8.25470818e-01
 2.58917988e-11]",Bayesian,0.1,100
1181,[0.         0.         0.12539239 0.87460761 0.        ],Bayesian,0.1,200
1182,[0.         0.         0.05627345 0.94372655 0.        ],Bayesian,1.0,50
1183,"[9.43689571e-16 0.00000000e+00 1.11022302e-16 1.00000000e+00
 1.24900090e-15]",Bayesian,1.0,100
1184,"[0.00000000e+00 0.00000000e+00 7.21644966e-16 1.00000000e+00
 2.05391260e-15]",Bayesian,1.0,200
1185,"[6.31455057e-01 2.77555756e-17 5.20417043e-17 3.68544943e-01
 6.93889390e-17]",Bayesian,5.0,50
1186,"[8.03703144e-02 0.00000000e+00 1.38777878e-17 9.19629686e-01
 5.20417043e-16]",Bayesian,5.0,100
1187,"[0.00000000e+00 2.70616862e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
1188,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 7.26280147e-13
 0.00000000e+00]",Bayesian,0.1,50
1189,"[6.01950795e-12 1.50005784e-11 3.26658026e-01 6.73341974e-01
 2.22622363e-11]",Bayesian,0.1,100
1190,"[1.14198009e-12 4.81006153e-12 3.47143452e-01 6.52856548e-01
 7.54946722e-12]",Bayesian,0.1,200
1191,"[4.44089210e-16 0.00000000e+00 1.33226763e-15 1.00000000e+00
 2.22044605e-16]",Bayesian,1.0,50
1192,"[2.24820162e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
1193,"[0.00000000e+00 1.06458075e-14 3.93541890e-02 9.60645811e-01
 4.74855774e-15]",Bayesian,1.0,200
1194,"[1.45015203e-01 0.00000000e+00 1.65703456e-01 6.89281341e-01
 4.03106368e-16]",Bayesian,5.0,50
1195,"[5.55111512e-16 1.04083409e-16 0.00000000e+00 1.00000000e+00
 7.63278329e-17]",Bayesian,5.0,100
1196,"[3.05311332e-16 3.15719673e-16 0.00000000e+00 1.00000000e+00
 6.10622664e-16]",Bayesian,5.0,200
1197,"[0.00000000e+00 0.00000000e+00 1.22576949e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
1198,"[5.20194998e-13 1.49710799e-12 0.00000000e+00 1.00000000e+00
 2.91816571e-12]",Bayesian,0.1,100
1199,"[4.95625063e-11 5.38414832e-11 6.56429687e-03 9.93435703e-01
 6.84858841e-11]",Bayesian,0.1,200
1200,"[6.38378239e-16 0.00000000e+00 2.58126853e-15 1.00000000e+00
 4.71844785e-15]",Bayesian,1.0,50
1201,"[0.00000000e+00 1.11022302e-16 0.00000000e+00 1.00000000e+00
 5.05151476e-15]",Bayesian,1.0,100
1202,"[0.00000000e+00 9.71445147e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
1203,"[0.00000000e+00 0.00000000e+00 3.55271368e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
1204,"[1.55738170e-02 0.00000000e+00 0.00000000e+00 9.84426183e-01
 4.71844785e-16]",Bayesian,5.0,100
1205,"[1.85503084e-02 0.00000000e+00 7.63278329e-17 9.81449692e-01
 5.13478149e-16]",Bayesian,5.0,200
